no_opt,opt
9027,8796
8982,8792
8972,8714
9234,8754
8934,8692
8801,8778
8825,8723
8868,8759
8823,8729
8852,8701
8877,8727
8815,8702
8833,9672
8801,8726
8843,8774
8825,8726
8850,8687
8829,8720
8792,8716
8858,8721
8829,8728
8927,8957
8826,8689
8819,8914
8853,8711
9014,8699
8735,9557
8863,8748
8834,9416
8903,8744
8875,10399
8842,9094
8830,8905
8866,8768
8813,8773
8828,8943
9285,8722
8799,8790
8811,8707
8861,8857
8880,8830
8783,8760
8861,8791
8863,8734
8844,8915
8813,8748
9039,8707
9301,8744
8849,8753
8817,8717
9276,8751
8823,8746
9129,8744
8759,8697
8839,8757
8865,8738
8858,8683
9109,8786
8840,8760
9349,8770
8839,8752
8936,8727
8889,8800
8938,8718
9045,8877
8832,8802
8853,8701
8828,8746
8866,8704
8805,8744
8881,8680
8839,8797
8810,8683
8836,8742
8850,8760
8828,8726
8836,8749
8894,8724
8814,8870
8844,8705
8844,8746
8823,8696
9048,8772
8746,8718
8856,8928
8835,8736
9551,9078
8826,8693
